Rashi on Exodus 21:24:1	פרק החובל (דף פ"ג)	פרק החובל (בבא קמא דף פ"ג)
Rashi on Exodus 25:12:2	פ' שתי הלחם (דף צ"ח)	פ' שתי הלחם (מנחות דף צ"ח)
Rashi on Leviticus 11:19:3	פרק מי שאחזו (דף ס"ח)	פרק מי שאחזו (גיטין דף ס"ח)
Rashi on Leviticus 12:8:1	פרק כל התדיר (צ	פרק כל התדיר (זבחים צ
Arukh HaShulchan, Yoreh De'ah 98:4	פ' השוכר את הפועל [סז]	פ' השוכר את הפועל (עבודה זרה סז)
Ein Yaakov, Yoma 8:15	פרק בכל מערבין (דף מ	פרק בכל מערבין (עירובין דף מ
Chofetz Chaim, Preface 4	פרק חלק (דף צ"ח)	פרק חלק (סנהדרין דף צ"ח)
Chofetz Chaim, Responsa of the Maharik 2	פ' ערבי פסחים (דף קי"ג)	פ' ערבי פסחים (פסחים דף קי"ג)
Chofetz Chaim, Responsa of the Maharik 13	פ' הניזקין (דף נ"ז)	פ' הניזקין (גיטין דף נ"ז)
Torat HaBayit HaAroch, The Third House, The Third Gate 1	פרק השוחט (דף סח)	פרק השוחט (חולין דף סח)
Rashba on Bava Batra 2a:7	פרק הגוזל עצים (ק, א)	פרק הגוזל עצים (בבא קמא ק, א)
Rashba on Bava Batra 35a:3	פרק מי שהיה נשוי (שם)	פרק מי שהיה נשוי (כתובות שם)
Rashba on Chullin 93a:2	פרק הקומץ רבה (כא, א)	פרק הקומץ רבה (מנחות כא, א)
Rashba on Chullin 93a:2	פרק כל הבשר (קיג, א)	פרק כל הבשר (חולין קיג, א)
Rashba on Chullin 108b:1	פרק גיד הנשה (צז, ב)	פרק גיד הנשה (חולין צז, ב)
Rashba on Ketubot 86b:3	פרק שבועת הדיינין (מב, א)	פרק שבועת הדיינין (שבועות מב, א)
Rashba on Ketubot 87a:1	פרק אף על פי (שם	פרק אף על פי (כתובות שם
Rashba on Ketubot 95b:1	פרק יש נוחלין (קלט, ב)	פרק יש נוחלין (בבא בתרא קלט, ב)
Rashba on Ketubot 101b:3	פרק הזהב (שם	פרק הזהב (בבא מציעא שם
Rashba on Ketubot 107a:1	פרק השולח (לה, א)	פרק השולח (גיטין לה, א)
Rashba on Yevamot 33a:3	פרק גיד הנשה (שם)	פרק גיד הנשה (חולין שם)
Rashba on Bava Metzia 110b:1	פרק יש בכור (נא, ב)	פרק יש בכור (בכורות נא, ב)
Rif Gittin 33b:1	פרק כל הגט (דף כט.)	פרק כל הגט (גיטין דף כט.)
Marganita Tava on Sefer HaMitzvot, Shorashim 2:1:1	פ' לא יחפור (דף כ')	פ' לא יחפור (בבא בתרא דף כ')
Sefer Mitzvot Gadol, Negative Commandments 138:2	פ' גיד הנשה [דף צ"ח]	פ' גיד הנשה (חולין דף צ"ח)
Sefer Mitzvot Gadol, Negative Commandments 138:2	פ' הקומץ רבה [דף כ"ב]	פ' הקומץ רבה (מנחות דף כ"ב)
Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 1:69	פרק הרואה (נ"ד	פרק הרואה (ברכות נ"ד
