Tur, Orach Chaim 46:1	פרק כיצד מברכין (לה.)	פרק כיצד מברכין (ברכות לה.)
Tur, Orach Chaim 61:1	פ' מקום שנהגו (נו.)	פ' מקום שנהגו (פסחים נו.)
Tur, Orach Chaim 114:1	פרק תפלת השחר (כט.)	פרק תפלת השחר (ברכות כט.)
Tur, Orach Chaim 189:1	פרק במה בהמה (נה:)	פרק במה בהמה (שבת נה:)
Tur, Orach Chaim 201:1	פרק הרואה (נה:)	פרק הרואה (ברכות נה:)
Tur, Orach Chaim 231:1	פרק הישן (כו.)	פרק הישן (סוכה כו.)
Tur, Orach Chaim 238:1	פרק הדר (סה.)	פרק הדר (עירובין סה.)
Tur, Orach Chaim 238:1	פרק עושין פסין (יח:)	פרק עושין פסין (עירובין יח:)
Tur, Orach Chaim 238:1	פ' הדר (שם	פ' הדר (עירובין שם
Tur, Orach Chaim 242:1	פרק אלו דברים (סח:)	פרק אלו דברים (פסחים סח:)
Tur, Orach Chaim 242:1	פרק כל כתבי (קיט.)	פרק כל כתבי (שבת קיט.)
Tur, Orach Chaim 249:1	פ' השולח (לח:)	פ' השולח (גיטין לח:)
Tur, Orach Chaim 249:1	פרק בכל מערבין (מ:)	פרק בכל מערבין (עירובין מ:)
Tur, Orach Chaim 250:1	פרק כל כתבי (קיט:)	פרק כל כתבי (שבת קיט:)
Tur, Orach Chaim 268:1	פרק כל כתבי (קיט:)	פרק כל כתבי (שבת קיט:)
Tur, Orach Chaim 268:1	פ' במה מדליקין (כד:)	פ' במה מדליקין (שבת כד:)
Tur, Orach Chaim 284:1	פרק ערבי פסחים (קיז:)	פרק ערבי פסחים (פסחים קיז:)
Tur, Orach Chaim 288:1	פרק כל כתבי (קיט:)	פרק כל כתבי (שבת קיט:)
Tur, Orach Chaim 290:1	פרק השולח (לח:)	פרק השולח (גיטין לח:)
Tur, Orach Chaim 292:1	פרק בני העיר (לא.)	פרק בני העיר (מגילה לא.)
Tur, Orach Chaim 312:1	פ' המצניע (צב.)	פ' המצניע (שבת צב.)
Shulchan Arukh, Choshen Mishpat 13:3	פ' גט פשוט) (ע'	פ' גט פשוט) (בבא בתרא ע'
Arukh HaShulchan, Orach Chaim 220:1	פרק הרואה (נ"ה.)	פרק הרואה (ברכות נ"ה.)
Arukh HaShulchan, Orach Chaim 227:1	פרק הרואה (נ"ד.)	פרק הרואה (ברכות נ"ד.)
Arukh HaShulchan, Orach Chaim 228:1	פרק הרואה (נ"ד.)	פרק הרואה (ברכות נ"ד.)
Arukh HaShulchan, Orach Chaim 239:2	פרק הרואה (ס':)	פרק הרואה (ברכות ס':)
Arukh HaShulchan, Orach Chaim 308:42	פרק כל הכלים (קכ"ה.)	פרק כל הכלים (שבת קכ"ה.)
Arukh HaShulchan, Orach Chaim 314:4	פרק חבית (קמ"ו.)	פרק חבית (שבת קמ"ו.)
Arukh HaShulchan, Orach Chaim 317:16	פרק ואלו קשרים (קי"א:)	פרק ואלו קשרים (שבת קי"א:)
Arukh HaShulchan, Orach Chaim 321:15	פרק כל הכלים (קכ"ב:)	פרק כל הכלים (שבת קכ"ב:)
Arukh HaShulchan, Orach Chaim 334:13	פרק במה אשה (ס"ה:)	פרק במה אשה (שבת ס"ה:)
Arukh HaShulchan, Orach Chaim 345:3	פרק כל גגות (צ"ד.)	פרק כל גגות (עירובין צ"ד.)
Arukh HaShulchan, Orach Chaim 345:19	פרק הזורק, (צ"ו:)	פרק הזורק, (שבת צ"ו:)
Arukh HaShulchan, Orach Chaim 360:6	פרק כל גגות (צ"ג.)	פרק כל גגות (עירובין צ"ג.)
Arukh HaShulchan, Orach Chaim 362:11	פרק הזורק (ק"א.)	פרק הזורק (שבת ק"א.)
Arukh HaShulchan, Orach Chaim 445:1	פרק כל שעה (כא	פרק כל שעה (פסחים כא
Arukh HaShulchan, Yoreh De'ah 83:7	פ' אין מעמידין [ל"ח:]	פ' אין מעמידין (עבודה זרה ל"ח:)
Arukh HaShulchan, Yoreh De'ah 98:4	פ' השוכר את הפועל [סז׃	פ' השוכר את הפועל [עבודה זרה סז
Arukh HaShulchan, Yoreh De'ah 105:10	פ' אין מעמידין [לג]	פ' אין מעמידין (עבודה זרה לג)
